Data properties:
 
Recording date: 21/07/2015
Recording time : 13:19:17:515 (corresponds to time 0)
Study: EyeTrackingExperiment
Subject: AnaesExpert004
Recording: AnaesExpert004video
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Data: 
  
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)
  
16	1	-1280	-1024	0.514	0.508	-1.000	-1.000	4	-1280	-1024	0.265	0.523	-1.000	-1.000	4
36	2	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
56	3	-1280	-1024	0.517	0.515	-1.000	-1.000	4	-1280	-1024	0.269	0.530	-1.000	-1.000	4
76	4	780	541	0.518	0.519	770.501	4.635	0	784	284	0.271	0.533	769.039	4.261	0
96	5	730	417	0.519	0.523	776.561	4.648	0	806	357	0.273	0.537	770.217	4.263	0
116	6	821	430	0.520	0.527	779.327	4.488	0	772	378	0.275	0.541	770.772	4.129	0
136	7	835	337	0.522	0.532	781.332	4.357	0	801	392	0.277	0.546	772.617	4.169	0
156	8	729	515	0.523	0.537	784.628	4.578	0	762	382	0.280	0.551	773.944	4.214	0
176	9	759	395	0.524	0.543	787.010	4.504	0	865	425	0.282	0.557	775.676	4.381	0
196	10	816	496	0.526	0.548	791.530	4.800	0	801	382	0.285	0.563	778.692	4.193	0
216	11	727	506	0.529	0.554	796.677	4.899	0	783	306	0.288	0.569	780.826	4.516	0
236	12	-1280	-1024	0.533	0.561	-1.000	-1.000	4	-1280	-1024	0.294	0.576	-1.000	-1.000	4
255	13	393	458	0.537	0.569	796.677	4.202	0	491	481	0.299	0.583	782.081	4.528	0
275	14	385	116	0.540	0.577	802.315	3.994	0	359	342	0.303	0.590	791.175	4.665	0
295	15	-1280	-1024	0.542	0.586	-1.000	-1.000	4	-1280	-1024	0.306	0.598	-1.000	-1.000	4
315	16	-1280	-1024	0.546	0.595	-1.000	-1.000	4	-1280	-1024	0.310	0.607	-1.000	-1.000	4
335	17	-1280	-1024	0.549	0.604	-1.000	-1.000	4	-1280	-1024	0.315	0.616	-1.000	-1.000	4
355	18	-1280	-1024	0.553	0.613	-1.000	-1.000	4	-1280	-1024	0.319	0.626	-1.000	-1.000	4
375	19	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
395	20	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
415	21	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
435	22	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
455	23	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
475	24	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
495	25	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
515	26	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
535	27	-1280	-1024	0.561	0.699	-1.000	-1.000	4	-1280	-1024	0.561	0.699	-1.000	-1.000	4
554	28	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
574	29	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
594	30	-1280	-1024	0.563	0.718	-1.000	-1.000	4	-1280	-1024	0.563	0.718	-1.000	-1.000	4
614	31	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
